Name,Link,Name_Abbreviated,Last_Name,First_Name,SHP_Website_Terminal_Degree,Last_First
"Cheri Gostic, PT, DPT, MS, Board-Certified Geriatric Clinical Specialist",/programs/pt/eldpt/faculty/gostic,Cheri Gostic,Gostic,Cheri,YES,"Gostic, Cheri"
"Audrey Grimaldi, DHSc, MS, MT (ASCP)",https://healthprofessions.stonybrookmedicine.edu/programs/clinical/about/faculty/grimaldi,Audrey Grimaldi,Grimaldi,Audrey,NO,"Grimaldi, Audrey"
Catherine Gropper,https://healthprofessions.stonybrookmedicine.edu/programs/clinical/about/faculty/gropper,Catherine Gropper,Gropper,Catherine,NO,"Gropper, Catherine"
"Jeannie Guglielmo, MS, MAT, MLS, (ASCP)CM",/programs/clinical/about/faculty/guglielmo,Jeannie Guglielmo,Guglielmo,Jeannie,NO,"Guglielmo, Jeannie"
Katherine Hackett,https://healthprofessions.stonybrookmedicine.edu/programs/otp/about/staff/hackett,Katherine Hackett,Hackett,Katherine,NO,"Hackett, Katherine"
"Kyle Hewson, PT, EdD",https://healthprofessions.stonybrookmedicine.edu/programs/pt/eldpt/faculty/hewson,Kyle Hewson,Hewson,Kyle,YES,"Hewson, Kyle"
"Stacy Jaffee Gropack, PT, PhD, FASAHP",https://healthtechnology.stonybrookmedicine.edu/administration/jaffeegropack,Stacy Jaffee Gropack,Gropack,Stacy,YES,"Gropack, Stacy"
"Lisa Johnson, MS, RRT-NPS",https://healthtechnology.stonybrookmedicine.edu/programs/rc/faculty/johnson,Lisa Johnson,Johnson,Lisa,NO,"Johnson, Lisa"
"Kristen Kagan, PT, DPT, MS",https://healthprofessions.stonybrookmedicine.edu/programs/pt/eldpt/faculty/kagan,Kristen Kagan,Kagan,Kristen,YES,"Kagan, Kristen"
"Lisa Kayser, MS, PA-C",https://healthtechnology.stonybrookmedicine.edu/lisa_kayser,Lisa Kayser,Kayser,Lisa,NO,"Kayser, Lisa"
"Robbye Kinkade, MPH",/programs/hs/about/faculty/kinkade,Robbye Kinkade,Kinkade,Robbye,NO,"Kinkade, Robbye"
"Joy Kling, MA, CCC-SLP",https://healthprofessions.stonybrookmedicine.edu/programs/speech-language-pathology/faculty-staff/faculty-staff,Joy Kling,Kling,Joy,NO,"Kling, Joy"
"Madison Kolnsberg, MS",https://healthprofessions.stonybrookmedicine.edu/programs/hs/about/faculty/kolnsberg,Madison Kolnsberg,Kolnsberg,Madison,NO,"Kolnsberg, Madison"
"Lisa Komnik, MS, ATC",https://healthtechnology.stonybrookmedicine.edu/programs/at/about/faculty/new_member,Lisa Komnik,Komnik,Lisa,NO,"Komnik, Lisa"
"Kathryn A. Koshansky, MS, ATC",/programs/at/about/faculty/koshansky,Kathryn A. Koshansky,Koshansky,Kathryn,NO,"Koshansky, Kathryn"
"Nancy J. Krisch, PT, DPT, PhD",https://healthtechnology.stonybrookmedicine.edu/programs/pt/eldpt/faculty/Krisch,Nancy J. Krisch,Krisch,Nancy,YES,"Krisch, Nancy"
"Rajiv Lajmi, MBA, MS, PMP",https://healthtechnology.stonybrookmedicine.edu/programs/ahi/faculty/rajiv_lajmi,Rajiv Lajmi,Lajmi,Rajiv,NO,"Lajmi, Rajiv"
"Eric Lamberg, EdD, PT, CPed",https://healthtechnology.stonybrookmedicine.edu/research/faculty/lamberg,Eric Lamberg,Lamberg,Eric,YES,"Lamberg, Eric"
"Daniel J. Lee, PT, PhD, DPT",https://healthprofessions.stonybrookmedicine.edu/programs/pt/eldpt/faculty/lee,Daniel J. Lee,Lee,Daniel,YES,"Lee, Daniel"
Abigail Luizzi,https://healthprofessions.stonybrookmedicine.edu/programs/pa/elpa/faculty/Luizzi,Abigail Luizzi,Luizzi,Abigail,NO,"Luizzi, Abigail"
"Lauren Maloney, MD, NRP, FP-C, NCEE, CIC, FACEP, FAEMS",http://healthtechnology.stonybrookmedicine.edu/Lauren_Maloney_MD,Lauren Maloney,Maloney,Lauren,YES,"Maloney, Lauren"
"Sharon Martino, PT, PhD",https://healthtechnology.stonybrookmedicine.edu/programs/pt/eldpt/faculty/martino,Sharon Martino,Martino,Sharon,YES,"Martino, Sharon"
"Agnes McConlogue Ferro, PT, DPT, PhD, Board-Certified Pediatrics Clinical Specialist",/programs/pt/eldpt/faculty/ferro,Agnes McConlogue Ferro,Ferro,Agnes,YES,"Ferro, Agnes"
"Kathleen McGoldrick, MLS, BA",/programs/hs/about/faculty/McGoldrick,Kathleen McGoldrick,McGoldrick,Kathleen,NO,"McGoldrick, Kathleen"
"Hannah Mercier, PhD, OTR/L",https://healthtechnology.stonybrookmedicine.edu/programs/otp/about/faculty/mercier,Hannah Mercier,Mercier,Hannah,YES,"Mercier, Hannah"
"Susan Miale, PT, DPT, EdD, Board-Certified Pediatrics Clinical Specialist",/programs/pt/eldpt/faculty/miale,Susan Miale,Miale,Susan,YES,"Miale, Susan"
"Lisa Muratori, PT, EdD",https://healthtechnology.stonybrookmedicine.edu/programs/pt/eldpt/faculty/muratori,Lisa Muratori,Muratori,Lisa,YES,"Muratori, Lisa"
"Stefanie Olin, PT, DPT",https://healthprofessions.stonybrookmedicine.edu/programs/pt/eldpt/faculty/olin,Stefanie Olin,Olin,Stefanie,YES,"Olin, Stefanie"
"Mandeep Patel, MD, FACP",https://healthprofessions.stonybrookmedicine.edu/programs/pa/elpa/faculty/patel,Mandeep Patel,Patel,Mandeep,YES,"Patel, Mandeep"
"Audra Perrino, MS",https://healthprofessions.stonybrookmedicine.edu/programs/pa/elpa/faculty/perrino,Audra Perrino,Perrino,Audra,NO,"Perrino, Audra"
"James Pierre-Glaude, DPT, ATC, CSCS",https://healthtechnology.stonybrookmedicine.edu/programs/pt/eldpt/faculty/pierre-glaude,James Pierre-Glaude,Pierre-Glaude,James,YES,"Pierre-Glaude, James"
"Darlene Piraino, OTR/L, CHT",https://healthprofessions.stonybrookmedicine.edu/programs/otp/about/faculty/piraino,Darlene Piraino,Piraino,Darlene,NO,"Piraino, Darlene"
"Rudolph Princi, MA, EMT-P, TP-C, NCEE, CIC",https://healthprofessions.stonybrookmedicine.edu/programs/emt/about/faculty/princi,Rudolph Princi,Princi,Rudolph,YES,"Princi, Rudolph"
"Inken Prochilo, OTD, OTR/L",https://healthtechnology.stonybrookmedicine.edu/programs/otp/about/faculty/prochilo,Inken Prochilo,Prochilo,Inken,NO,"Prochilo, Inken"
"Linda I. Rosa-Lugo, EdD, CCC-SLP, BCS-CL, F-ASHA",https://healthprofessions.stonybrookmedicine.edu/programs/speech-language-pathology/faculty-staff/faculty-staff,Linda I. Rosa-Lugo,Rosa-Lugo,Linda,YES,"Rosa-Lugo, Linda"
"Jessica Rotolo, MA",https://healthprofessions.stonybrookmedicine.edu/about/leadership,Jessica Rotolo,Rotolo,Jessica,NO,"Rotolo, Jessica"
"Russell E. Rozensky, MS, RRT-SDS, CPFT, RPSGT, CCSH",https://healthtechnology.stonybrookmedicine.edu/programs/rc/faculty/rozensky,Russell E. Rozensky,Rozensky,Russell,NO,"Rozensky, Russell"
"Angela Scauso, MAPP",https://healthprofessions.stonybrookmedicine.edu/about/leadership,Angela Scauso,Scauso,Angela,NO,"Scauso, Angela"
"Joanmarie Schreiber, MA",https://healthprofessions.stonybrookmedicine.edu/about/leadership,Joanmarie Schreiber,Schreiber,Joanmarie,NO,"Schreiber, Joanmarie"
"Stephen Sebor, LCSW",https://healthprofessions.stonybrookmedicine.edu/cphe/sbstaff,Stephen Sebor,Sebor,Stephen,NO,"Sebor, Stephen"
Margaret A. Sheryll,https://healthprofessions.stonybrookmedicine.edu/programs/pt/eldpt/faculty/sheryll,Margaret A. Sheryll,Sheryll,Margaret,NO,"Sheryll, Margaret"
"Gerald Simons, MPAS, DFAAPA, PA-C",https://healthtechnology.stonybrookmedicine.edu/gerald_simons,Gerald Simons,Simons,Gerald,NO,"Simons, Gerald"
Giovanni Tena,https://healthprofessions.stonybrookmedicine.edu/programs/hs/about/faculty/tena,Giovanni Tena,Tena,Giovanni,NO,"Tena, Giovanni"
Theresa Terracciano,https://healthprofessions.stonybrookmedicine.edu/node/1009,Theresa Terracciano,Terracciano,Theresa,NO,"Terracciano, Theresa"
"Richard Thailer, MS, PA-C",/programs/pa/elpa/faculty/thailer,Richard Thailer,Thailer,Richard,NO,"Thailer, Richard"
Rachana Thippeswamy,https://healthprofessions.stonybrookmedicine.edu/about/leadership,Rachana Thippeswamy,Thippeswamy,Rachana,NO,"Thippeswamy, Rachana"
"Traci Thompson, MS",https://healthprofessions.stonybrookmedicine.edu/programs/hs/about/faculty/thompson,Traci Thompson,Thompson,Traci,NO,"Thompson, Traci"
"Kristin Thomson, DHSc, PA-C",https://healthtechnology.stonybrookmedicine.edu/kristin_thomson,Kristin Thomson,Thomson,Kristin,NO,"Thomson, Kristin"
"Lynn Timko-Swaim, MS, PA-C",/programs/pa/elpa/faculty/swaim,Lynn Timko-Swaim,Timko-Swaim,Lynn,NO,"Timko-Swaim, Lynn"
"Gloria Viboud, PhD, SM(ASCP)",/programs/clinical/about/faculty/viboud,Gloria Viboud,Viboud,Gloria,YES,"Viboud, Gloria"
"Ryann Vigliotta, MA",https://healthprofessions.stonybrookmedicine.edu/programs/speech-language-pathology/faculty-staff/faculty-staff,Ryann Vigliotta,Vigliotta,Ryann,NO,"Vigliotta, Ryann"
"Kelly Warren, PhD",https://healthtechnology.stonybrookmedicine.edu/kelly_warren,Kelly Warren,Warren,Kelly,YES,"Warren, Kelly"
"Ghenet Weldeslassie, PhD",/programs/otp/about/faculty/weldeslassie,Ghenet Weldeslassie,Weldeslassie,Ghenet,YES,"Weldeslassie, Ghenet"
"Joseph Whitton, MS, RT(R)(CT)(MR), FASRT",/programs/hs/about/faculty/whitton,Joseph Whitton,Whitton,Joseph,NO,"Whitton, Joseph"
"Hants Williams, PhD, RN",https://healthtechnology.stonybrookmedicine.edu/programs/ahi/faculty/hants_williams,Hants Williams,Williams,Hants,YES,"Williams, Hants"
"Debbie Zelizer, PhD, LCSW",/programs/hs/about/faculty/zelizer,Debbie Zelizer,Zelizer,Debbie,YES,"Zelizer, Debbie"
