uid,title,types,sourceTypes,citations,source.sourceTitle,source.publishYear,source.publishMonth,source.volume,source.supplement,source.pages.range,source.pages.begin,source.pages.end,source.pages.count,names.authors,links.record,identifiers.issn,identifiers.eissn,keywords.authorKeywords,source.issue,links.references,links.related,identifiers.doi,identifiers.pmid,names.bookCorp,identifiers.isbn,names.bookEditors,source.specialIssue,identifiers.eisbn,source.articleNumber,names.corp
WOS:000243376500007,Performance and optimal technique for pharyngeal impedance recording: A simulated pharyngeal reflux study,['Article'],['Article'],"[{'db': 'WOK', 'count': 13}]",AMERICAN JOURNAL OF GASTROENTEROLOGY,2007,JAN,102,,33-39,33,39,7,"[{'displayName': 'Aslam, Muhammad', 'wosStandard': 'Aslam, M', 'researcherId': 'GRS-8220-2022'}, {'displayName': 'Bajaj, Shailesh', 'wosStandard': 'Bajaj, S', 'researcherId': 'EKF-0888-2022'}, {'displayName': 'Easterling, Caryn', 'wosStandard': 'Easterling, C', 'researcherId': 'ESO-3820-2022'}, {'displayName': 'Kawamura, Osamu', 'wosStandard': 'Kawamura, O', 'researcherId': 'CXK-9433-2022'}, {'displayName': 'Rittmann, Tanya', 'wosStandard': 'Rittmann, T', 'researcherId': 'DOQ-7853-2022'}, {'displayName': 'Hofmann, Candy', 'wosStandard': 'Hofmann, C', 'researcherId': 'CVI-9648-2022'}, {'displayName': 'Liu, Jianxiang', 'wosStandard': 'Liu, JX', 'researcherId': 'JPA-0852-2023'}, {'displayName': 'Shaker, Reza', 'wosStandard': 'Shaker, R', 'researcherId': 'FWO-0817-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000243376500007&DestLinkType=FullRecord&DestApp=WOS_CPL,0002-9270,,[],1,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000243376500007&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000243376500007&DestLinkType=RelatedRecords&DestApp=WOS_CPL,10.1111/j.1572-0241.2006.00888.x,17266686,,,,,,,
WOS:000216988300003,"Dynamic Panel Data Model for Investment, Real Value and Capital Stock Data",['Article'],['Article'],"[{'db': 'WOK', 'count': 1}]",PAKISTAN JOURNAL OF STATISTICS AND OPERATION RESEARCH,2007,JAN,3,,13-17,13,17,5,"[{'displayName': 'Pasha, G. R.', 'wosStandard': 'Pasha, GR', 'researcherId': 'FQW-5712-2022'}, {'displayName': 'Aslam, Muhammad', 'wosStandard': 'Aslam, M', 'researcherId': 'GRS-8220-2022'}, {'displayName': 'Abdullah, Muhammad', 'wosStandard': 'Abdullah, M', 'researcherId': 'JZY-7652-2024'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000216988300003&DestLinkType=FullRecord&DestApp=WOS_CPL,1816-2711,2220-5810,"['Capital stock', 'Dummy variable', 'Dynamic Model: Dynamic Panel Data model', 'Investment', 'Least squares dummy variable', 'Panel data', 'Real value']",1,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000216988300003&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000216988300003&DestLinkType=RelatedRecords&DestApp=WOS_CPL,10.18187/pjsor.v3i1.71,,,,,,,,
WOS:000219862600004,Comparison of Transvaginal Sonography and Saline Contrast Sonohysterography in Women with Abnormal Uterine Bleeding: Correlation with Hysteroscopy and Histopathology,['Article'],['Article'],"[{'db': 'WOK', 'count': 20}]",INTERNATIONAL JOURNAL OF HEALTH SCIENCES-IJHS,2007,JAN,1,,17-24,17,24,8,"[{'displayName': 'Aslam, Muhammad', 'wosStandard': 'Aslam, M', 'researcherId': 'DSY-5115-2022'}, {'displayName': 'Ijaz, Lubna', 'wosStandard': 'Ijaz, L', 'researcherId': 'FDE-4978-2022'}, {'displayName': 'Tariq, Shamsa', 'wosStandard': 'Tariq, S', 'researcherId': 'CCE-9347-2022'}, {'displayName': 'Shafqat, Kausar', 'wosStandard': 'Shafqat, K', 'researcherId': 'DTD-8031-2022'}, {'displayName': 'Meher-un-Nisa', 'wosStandard': 'Meher-un-Nisa', 'researcherId': 'FLG-5069-2022'}, {'displayName': 'Ashraf, Rubina', 'wosStandard': 'Ashraf, R', 'researcherId': 'CBR-0295-2022'}, {'displayName': 'Kazmi, Tahira', 'wosStandard': 'Kazmi, T', 'researcherId': 'FCB-9158-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000219862600004&DestLinkType=FullRecord&DestApp=WOS_CPL,1658-3639,,"['Ultrasound', 'transvaginal sonography', 'sonohysterography', 'hysteroscopy', 'abnormal uterine bleeding']",1,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000219862600004&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000219862600004&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,21475448,,,,,,,
WOS:000245175001034,Itraconazole before surgical biopsy of suspected cerebral aspergillosis may improve outcome,['Abstract'],['Meeting Abstract'],"[{'db': 'WOK', 'count': 0}]",NEUROLOGY,2007,MAR 20,68,1,A138-A138,A138,A138,1,"[{'displayName': 'Wasay, Mohammad', 'wosStandard': 'Wasay, M', 'researcherId': 'F-4400-2015'}, {'displayName': 'Patel, Junaid', 'wosStandard': 'Patel, J', 'researcherId': 'DLE-0391-2022'}, {'displayName': 'Azam, Iqbal', 'wosStandard': 'Azam, I', 'researcherId': 'EKA-7788-2022'}, {'displayName': 'Aslam, Muhammad', 'wosStandard': 'Aslam, M', 'researcherId': 'DSY-5115-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000245175001034&DestLinkType=FullRecord&DestApp=WOS_CPL,0028-3878,,[],12,,,,,,,,,,,
WOS:000245106502356,Long term outcomes of detrusor myectomy,['Abstract'],['Meeting Abstract'],"[{'db': 'WOK', 'count': 0}]",JOURNAL OF UROLOGY,2007,APR,177,S,441-441,441,441,1,"[{'displayName': 'Aslam, Muhammad Z.', 'wosStandard': 'Aslam, MZ', 'researcherId': 'FZC-5996-2022'}, {'displayName': 'Agarwal, Meena', 'wosStandard': 'Agarwal, M', 'researcherId': 'EJK-1705-2022'}, {'displayName': 'Stephenson, Timothy P.', 'wosStandard': 'Stephenson, TP', 'researcherId': 'GEV-2466-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000245106502356&DestLinkType=FullRecord&DestApp=WOS_CPL,0022-5347,,[],4,,,10.1016/S0022-5347(18)31551-9,,,,,,,,
WOS:000207494800001,Arthropod Fauna of <i>Brassica Napus and Brassica Juncea</i> from Southern Punjab (Pakistan),['Article'],['Article'],"[{'db': 'WOK', 'count': 16}]",JOURNAL OF AGRICULTURAL AND URBAN ENTOMOLOGY,2007,APR,24,,49-50,49,50,2,"[{'displayName': 'Aslam, Muhammad', 'wosStandard': 'Aslam, M', 'researcherId': 'GRS-8220-2022'}, {'displayName': 'Razaq, Muhammad', 'wosStandard': 'Razaq, M', 'researcherId': 'GYQ-5405-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000207494800001&DestLinkType=FullRecord&DestApp=WOS_CPL,1523-5475,2153-652X,[],2,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000207494800001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000207494800001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,10.3954/1523-5475-24.2.49,,,,,,,,
WOS:000247823300066,Deposition of nanocrystalline zinc-nickel alloys by DC plating in additive free chloride bath,['Article'],['Article'],"[{'db': 'WOK', 'count': 21}]",MATERIALS TRANSACTIONS,2007,JUN,48,,1558-1565,1558,1565,8,"[{'displayName': 'Rizwan, Rashid', 'wosStandard': 'Rizwan, R', 'researcherId': 'DPD-6754-2022'}, {'displayName': 'Mehmood, Mazhar', 'wosStandard': 'Mehmood, M', 'researcherId': 'G-4048-2011'}, {'displayName': 'Imran, Muhammad', 'wosStandard': 'Imran, M', 'researcherId': 'KBG-7868-2024'}, {'displayName': 'Ahmad, Jamil', 'wosStandard': 'Ahmad, J', 'researcherId': 'AAC-3119-2020'}, {'displayName': 'Aslam, Muhammad', 'wosStandard': 'Aslam, M', 'researcherId': 'DSY-5115-2022'}, {'displayName': 'Akhter, Javed I.', 'wosStandard': 'Akhter, JI', 'researcherId': 'I-5791-2015'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000247823300066&DestLinkType=FullRecord&DestApp=WOS_CPL,1345-9678,1347-5320,"['electrodeposition', 'coating', 'zinc-nickel alloy', 'chloride bath', 'voltammetry', 'chronopotentiometry', 'anomalous codeposition']",6,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000247823300066&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000247823300066&DestLinkType=RelatedRecords&DestApp=WOS_CPL,10.2320/matertrans.MER2007022,,,,,,,,
WOS:000216989000005,Adaptive Estimation of Heteroscedastic Money Demand Model of Pakistan,['Article'],['Article'],"[{'db': 'WOK', 'count': 2}]",PAKISTAN JOURNAL OF STATISTICS AND OPERATION RESEARCH,2007,JUL,3,,109-115,109,115,7,"[{'displayName': 'Aslam, Muhammad', 'wosStandard': 'Aslam, M', 'researcherId': 'GRS-8220-2022'}, {'displayName': 'Pasha, G. R.', 'wosStandard': 'Pasha, GR', 'researcherId': 'FQW-5712-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000216989000005&DestLinkType=FullRecord&DestApp=WOS_CPL,1816-2711,2220-5810,"['Adaptive estimator', 'Heteroscedasticity', 'Money supply', 'Nonparametric kernel Estimator', 'Nearest neighbour regression estimator']",2,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000216989000005&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000216989000005&DestLinkType=RelatedRecords&DestApp=WOS_CPL,10.18187/pjsor.v3i2.65,,,,,,,,
WOS:000248689200007,CMV-induced neonatal thrombocytopenia: A case report and review of the literature,['Article'],['Article'],"[{'db': 'WOK', 'count': 13}]",AMERICAN JOURNAL OF PERINATOLOGY,2007,AUG,24,,429-434,429,434,6,"[{'displayName': 'Aslam, Muhammad', 'wosStandard': 'Aslam, M', 'researcherId': 'DSY-5115-2022'}, {'displayName': 'Anderson, Jennifer L.', 'wosStandard': 'Anderson, JL', 'researcherId': 'IUJ-3932-2023'}, {'displayName': 'Guglietti, Deborah', 'wosStandard': 'Guglietti, D', 'researcherId': 'EZO-7921-2022'}, {'displayName': 'Cardwell, Dorcas', 'wosStandard': 'Cardwell, D', 'researcherId': 'ENH-1517-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000248689200007&DestLinkType=FullRecord&DestApp=WOS_CPL,0735-1631,,"['cytomegalovirus', 'thrombocytopenia', 'TORCH', 'hearing loss', 'intracranial calcifications', 'ganciclovir', 'CMV immunoglobulin']",7,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000248689200007&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000248689200007&DestLinkType=RelatedRecords&DestApp=WOS_CPL,10.1055/s-2007-984409,17597443,,,,,,,
WOS:000260913600011,"A Preliminary Study on the Arsenic Contamination of Underground Water of Matiari and Khairpur Districts, Sindh, Pakistan",['Article'],['Article'],"[{'db': 'WOK', 'count': 17}]",JOURNAL OF THE CHEMICAL SOCIETY OF PAKISTAN,2007,OCT,29,,463-467,463,467,5,"[{'displayName': 'Arain, Ghulam Murtaza', 'wosStandard': 'Arain, GM', 'researcherId': 'ELV-4246-2022'}, {'displayName': 'Aslam, Muhammad', 'wosStandard': 'Aslam, M', 'researcherId': 'GRS-8220-2022'}, {'displayName': 'Majidano, Subhan Ali', 'wosStandard': 'Majidano, SA', 'researcherId': 'AAX-6479-2021'}, {'displayName': 'Khuhawar, Muhammad Yar', 'wosStandard': 'Khuhawar, MY', 'researcherId': 'C-5800-2015'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000260913600011&DestLinkType=FullRecord&DestApp=WOS_CPL,0253-5106,,[],5,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000260913600011&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000260913600011&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,,,,,,,,
WOS:000421553500001,Bone Fractures in Ibn Sina's Medicine,['Editorial material'],['Editorial Material'],"[{'db': 'WOK', 'count': 0}]",PAKISTAN JOURNAL OF MEDICAL & HEALTH SCIENCES,2007,OCT-DEC,1,,120-124,120,124,5,"[{'displayName': 'Aslam, Muhammad Nadeem', 'wosStandard': 'Aslam, MN', 'researcherId': 'IVM-8361-2023'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000421553500001&DestLinkType=FullRecord&DestApp=WOS_CPL,1996-7195,,[],4,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000421553500001&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000421553500001&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,,,,,,,,
WOS:000250394300908,Intermedin induces failure of microvascular endothelial barrier via derrangement of actin cytoskeleton and dephosphorylation of focal adhesion proteins,['Abstract'],['Meeting Abstract'],"[{'db': 'WOK', 'count': 0}]",CIRCULATION,2007,OCT 16,116,S,204-205,204,205,2,"[{'displayName': 'Aslam, Muhammad', 'wosStandard': 'Aslam, M', 'researcherId': 'DSY-5115-2022'}, {'displayName': 'Haertel, Frauke V.', 'wosStandard': 'Haertel, FV', 'researcherId': 'CTI-4406-2022'}, {'displayName': 'Gunduz, Dursun', 'wosStandard': 'Gunduz, D', 'researcherId': 'EYO-9002-2022'}, {'displayName': 'Pfeil, Uwe', 'wosStandard': 'Pfeil, U', 'researcherId': 'DPA-7685-2022'}, {'displayName': 'Hsu, Sheau Y.', 'wosStandard': 'Hsu, SY', 'researcherId': 'FCJ-0793-2022'}, {'displayName': 'Kummer, Wolfgang', 'wosStandard': 'Kummer, W', 'researcherId': 'HRS-2600-2023'}, {'displayName': 'Piper, Hans M.', 'wosStandard': 'Piper, HM', 'researcherId': 'DMP-9577-2022'}, {'displayName': 'Noll, Thomas', 'wosStandard': 'Noll, T', 'researcherId': 'DXZ-0374-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000250394300908&DestLinkType=FullRecord&DestApp=WOS_CPL,0009-7322,,[],16,,,,,,,,,,,
WOS:000251089900007,Diagnostic evaluation of neonatal ascites,['Article'],['Article'],"[{'db': 'WOK', 'count': 1}]",AMERICAN JOURNAL OF PERINATOLOGY,2007,NOV,24,,603-609,603,609,7,"[{'displayName': 'Aslam, Muhammad', 'wosStandard': 'Aslam, M', 'researcherId': 'DSY-5115-2022'}, {'displayName': 'DeGrazia, Michele', 'wosStandard': 'DeGrazia, M', 'researcherId': 'EUX-9546-2022'}, {'displayName': 'Gregory, Mary Lucia P.', 'wosStandard': 'Gregory, MLP', 'researcherId': 'EYB-6805-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000251089900007&DestLinkType=FullRecord&DestApp=WOS_CPL,0735-1631,,"['urinary ascites', 'chylous ascites', 'biliary ascites', 'neonatal abdominal distension', 'posterior urethral valves', 'paracentesis']",10,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000251089900007&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000251089900007&DestLinkType=RelatedRecords&DestApp=WOS_CPL,10.1055/s-2007-992350,17972237,,,,,,,
WOS:000207992200013,ACARDIAC TWINS: A CASE SERIES,['Article'],['Article'],"[{'db': 'WOK', 'count': 2}]",JCPSP-JOURNAL OF THE COLLEGE OF PHYSICIANS AND SURGEONS PAKISTAN,2007,NOV,17,,691-693,691,693,3,"[{'displayName': 'Yaqoob, Jamal', 'wosStandard': 'Yaqoob, J', 'researcherId': 'EFR-7205-2022'}, {'displayName': 'Shahid, Khubaib', 'wosStandard': 'Shahid, K', 'researcherId': 'DSF-6899-2022'}, {'displayName': 'Aslam, Muhammad Imran', 'wosStandard': 'Aslam, MI', 'researcherId': 'HCI-3725-2022'}, {'displayName': 'Rafique, Muhammad Zafar', 'wosStandard': 'Rafique, MZ', 'researcherId': 'IOE-3815-2023'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000207992200013&DestLinkType=FullRecord&DestApp=WOS_CPL,1022-386X,,"['Manochorionic placenta', 'Acardiac twin', 'TRAP sequence']",11,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000207992200013&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000207992200013&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,18070580,,,,,,,
WOS:000260913700002,A New Approach of Split Dosage for Application of Aluminium Phosphide against the PH<sub>3</sub> Resistant Psocids in Stored Grain,['Article'],['Article'],"[{'db': 'WOK', 'count': 3}]",JOURNAL OF THE CHEMICAL SOCIETY OF PAKISTAN,2007,DEC,29,,538-544,538,544,7,"[{'displayName': 'Ahmedani, Muhammad Shoaib', 'wosStandard': 'Ahmedani, MS', 'researcherId': 'D-5321-2009'}, {'displayName': 'Khaliq, Abdul', 'wosStandard': 'Khaliq, A', 'researcherId': 'ABB-2381-2020'}, {'displayName': 'Aslam, Muhammad', 'wosStandard': 'Aslam, M', 'researcherId': 'GRS-8220-2022'}, {'displayName': 'Sayyed, Ali Hussnain', 'wosStandard': 'Sayyed, AH', 'researcherId': 'I-7283-2015'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000260913700002&DestLinkType=FullRecord&DestApp=WOS_CPL,0253-5106,,[],6,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000260913700002&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000260913700002&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,,,,,,,,
WOS:000251439800014,Acute airway compression with achalasia,['Editorial material'],['Editorial Material'],"[{'db': 'WOK', 'count': 2}]",JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS,2007,DEC,205,,813-813,813,813,1,"[{'displayName': 'Aslam, Muhammad I.', 'wosStandard': 'Aslam, MI', 'researcherId': 'HCI-3725-2022'}, {'displayName': 'Sutton, Christopher D.', 'wosStandard': 'Sutton, CD', 'researcherId': 'CDX-9384-2022'}, {'displayName': 'Hunter, David C.', 'wosStandard': 'Hunter, DC', 'researcherId': 'ILI-8337-2023'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000251439800014&DestLinkType=FullRecord&DestApp=WOS_CPL,1072-7515,,[],6,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000251439800014&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000251439800014&DestLinkType=RelatedRecords&DestApp=WOS_CPL,10.1016/j.jamcollsurg.2007.02.084,18035267,,,,,,,
WOS:000214673100008,Multiple antibiotic resistant <i>Escherichia coli</i> meningitis in a premature neonate,['Article'],['Article'],"[{'db': 'WOK', 'count': 0}]",JOURNAL OF PEDIATRIC INFECTIOUS DISEASES,2008,,3,,125-130,125,130,6,"[{'displayName': 'Aslam, Muhammad', 'wosStandard': 'Aslam, M', 'researcherId': 'DSY-5115-2022'}, {'displayName': 'Cohen, Jennifer N.', 'wosStandard': 'Cohen, JN', 'researcherId': 'ICV-2373-2023'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000214673100008&DestLinkType=FullRecord&DestApp=WOS_CPL,1305-7707,1305-7693,"['E. coli', 'neonatal meningitis', 'antibiotic resistance', 'GBS prophylaxis']",2,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000214673100008&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000214673100008&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,,,,,,,,
WOS:000254695700029,Effect of noise pollution on hearing of public transport drivers in Lahore city,['Article'],['Article'],"[{'db': 'WOK', 'count': 17}]",PAKISTAN JOURNAL OF MEDICAL SCIENCES,2008,JAN-MAR,24,,142-146,142,146,5,"[{'displayName': 'Aslam, Muhammad Javed', 'wosStandard': 'Aslam, MJ', 'researcherId': 'CCO-0769-2022'}, {'displayName': 'Aslam, Muhammad Azeem', 'wosStandard': 'Aslam, MA', 'researcherId': 'JDU-3691-2023'}, {'displayName': 'Batool, Amna', 'wosStandard': 'Batool, A', 'researcherId': 'CDS-4512-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000254695700029&DestLinkType=FullRecord&DestApp=WOS_CPL,1682-024X,,"['noise induced hearing loss', 'public transport', 'noise pollution']",1,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000254695700029&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000254695700029&DestLinkType=RelatedRecords&DestApp=WOS_CPL,,,,,,,,,
WOS:000251425200005,Inhibition of retinoic acid-induced skin irritation in calorie-restricted mice,['Article'],['Article'],"[{'db': 'WOK', 'count': 9}]",ARCHIVES OF DERMATOLOGICAL RESEARCH,2008,JAN,300,,27-35,27,35,9,"[{'displayName': 'Varani, James', 'wosStandard': 'Varani, J', 'researcherId': 'GHT-9029-2022'}, {'displayName': 'Bhagavathula, Narasimharao', 'wosStandard': 'Bhagavathula, N', 'researcherId': 'CEN-1013-2022'}, {'displayName': 'Aslam, Muhammad Nadeem', 'wosStandard': 'Aslam, MN', 'researcherId': 'I-7314-2012'}, {'displayName': 'Fay, Kevin', 'wosStandard': 'Fay, K', 'researcherId': 'ILO-0622-2023'}, {'displayName': 'Warner, Roscoe L.', 'wosStandard': 'Warner, RL', 'researcherId': 'EFG-7588-2022'}, {'displayName': 'Hanosh, Andrew', 'wosStandard': 'Hanosh, A', 'researcherId': 'CTV-7918-2022'}, {'displayName': 'Barron, Adam G.', 'wosStandard': 'Barron, AG', 'researcherId': 'EKM-8898-2022'}, {'displayName': 'Miller, Richard A.', 'wosStandard': 'Miller, RA', 'researcherId': 'JNI-9437-2023'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000251425200005&DestLinkType=FullRecord&DestApp=WOS_CPL,0340-3696,1432-069X,"['retinoic acid', 'skin irritation', 'calorie restriction', 'epidermal hyperplasia', 'inflammation', 'cytokines', 'matrix metalloproteinases']",1,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000251425200005&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000251425200005&DestLinkType=RelatedRecords&DestApp=WOS_CPL,10.1007/s00403-007-0797-y,17968574,,,,,,,
WOS:000251330100013,UK Muslim graduates need more information about organ donation and transplant,['Letter'],['Letter'],"[{'db': 'WOK', 'count': 9}]",TRANSPLANT INTERNATIONAL,2008,JAN,21,,92-93,92,93,2,"[{'displayName': 'Aslam, Muhammad', 'wosStandard': 'Aslam, M', 'researcherId': 'GRS-8220-2022'}, {'displayName': 'Hameed, Waseem', 'wosStandard': 'Hameed, W', 'researcherId': 'CSF-3272-2022'}]",https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000251330100013&DestLinkType=FullRecord&DestApp=WOS_CPL,0934-0874,,[],1,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000251330100013&DestLinkType=CitedReferences&DestApp=WOS,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=stonybrook-shp-research&SrcAuth=WosAPI&KeyUT=WOS:000251330100013&DestLinkType=RelatedRecords&DestApp=WOS_CPL,10.1111/j.1432-2277.2007.00558.x,17903185,,,,,,,
